순위,날짜,제목,언론사,내용
1,2026.07.08 09:57,"'골 취소→16강 탈락' 이집트, FIFA에 아르헨티나전 항의서 제출[월...",뉴시스,"[서울=뉴시스] 김진엽 기자 = 하니 아부 리다 이집트축구협회장이 아르헨티나전 주심을 맡았던 프랑스 출신의 프랑수아 르텍시에 심판을 상대로 국제축구연맹(FIFA)에 항의서를 제출했다. 이집트는 8일(한국 시간) 미국 애틀랜타에서 열린 2026 FIFA 북중미 월드컵 16강전에서 아르헨티나에 2-3로 패배했다. 이집트는 2-0으로 리드했지만, 막판 11"
2,2026.07.08 12:20,"""이강인 방출은 역사상 최악의 실수"" 공짜로 내보낸 韓 미드필더 603억...",스포티비뉴스,"[스포티비뉴스=박대현 기자] 5년 전 발렌시아의 이강인 방출은 구단 역사상 최악의 실수라는 평가가 나왔다. 스페인 '엘데스마르케'는 8일(한국시간) ""발렌시아가 이강인의 아틀레티코 마드리드 이적을 예의주시하고 있다""며 ""국제축구연맹(FIFA) 연대기여금을 통해 예상치 못한 수익을 확보할 수 있기 때문""이라고 보도했다. 매체는 ""발렌시아는 2021년"
3,2026.07.08 05:23,"'메시 눈물 펑펑' 진짜 죽다 살았다, PK 2실축 불명예→1골 1도움 ...",스타뉴스,"[스타뉴스 | 이원희 기자] 승리 후 눈물을 흘리는 리오넬 메시. /AFPBBNews=뉴스1리오넬 메시의 골 세리머니(오른쪽). /AFPBBNews=뉴스1'축구의 신' 리오넬 메시(인터 마이애미)가 진짜 죽다 살아났다. 또 한 번 페널티킥을 실축하며 조국 아르헨티나를 패배 위기에 빠뜨렸지만, 후반 막판 미친 활약으로 직접 팀을 구해냈다. 아르헨티나도 기적"
4,2026.07.08 08:01,"1475억에 이강인? 여친+누나 전부 파리에 있는데 애초 불가능…LEE,...",엑스포츠뉴스,"(엑스포츠뉴스 김환 기자) 이강인이 거액의 연봉을 제안한 중동 구단을 거절하고 스페인의 명문 구단 아틀레티코 마드리드로 향한다. 이강인이 아틀레티코를 선택한 배경에는 출전 시간과 스페인이라는 익숙한 환경 등이 있었지만, 유럽에서 함께 지내는 가족과 애인도 신경 쓰지 않기가 어려웠을 것으로 보인다. 아틀레티코 관련 소식에 정통한 루벤 우리아는 7일(한국시간)"
5,2026.07.08 05:03,"'한국 축구 망친 주역' 클린스만, 또 망언세례 ""축구협회가 직접 나서야...",스타뉴스,"[스타뉴스 | 박건도 기자] 지난해 10월 오후 서울 마포구 서울월드컵경기장에서 열린 하나은행 초청 축구 국가대표 평가전 대한민국과 튀니지의 경기, 4-0으로 승리한 대한민국 위르겐 클린스만 전 감독(왼쪽)이 정몽규 전 대한축구협회장과 대화를 나누고 있다. /사진제공=뉴시스한국 축구를 처참하게 망쳐놓고 떠났던 위르겐 클린스만이 미국 대표팀의 월드컵 탈락을"
6,2026.07.08 12:26,"""심판만 못 봤다"" 그라운드 전쟁 번지나? 이집트가 쏘아 올린 '편파 판...",에스티엔,"[STN뉴스] 정아람 기자┃""존중도, 공정한 운영도 없었다."" 아르헨티나의 기적 같은 3-2 역전승으로 끝난 16강전의 뒷맛이 극도로 쓰다. '졌지만 잘 싸웠다'는 평가조차 이집트 선수단과 협회의 분노를 잠재우기엔 역부족이다. 그라운드 위에서 시작된 전쟁은 이제 국제축구연맹(FIFA)을 향한 공식 항의로 번지며 진흙탕 싸움으로 치닫고 있다. 8일(한국"
7,2026.07.08 18:07,"잉글랜드와 8강 앞둔 노르웨이, 선수단 감기 증세…솔바켄 감독 ""출전 문...",스포츠투데이,"[스포츠투데이 신서영 기자] 2026 국제축구연맹(FIFA) 북중미 월드컵 8강전을 앞둔 노르웨이 축구대표팀에 감기 증세가 퍼지면서 우려를 낳고 있다. 로이터 통신은 8일(한국시각) ""스탈레 솔바케 노르웨이 감독이오는 12일 잉글랜드와 8강을 앞두고 일부 선수들의 몸 상태가 좋지 않다고 밝혔다""며 ""한 달 동안 이어진 이동과 강도 높은 경기 일정이 선수단에"
8,2026.07.08 07:56,[그래픽] 2026 북중미 월드컵 16강 결과,뉴스1,"(서울=뉴스1) 양혜림 디자이너,김초희 디자이너 = 아르헨티나는 8일(이하 한국시간) 미국 애틀랜타 스타디움에서 열린 이집트와의 2026 국제축구연맹(FIFA) 북중미 월드컵 16강전에서 3-2로 승리, 8강에 진출했다. 스위스는 8일 오전 5시(이하 한국시각) 캐나다 밴쿠버의 BC플레이스 밴쿠버에서 열린 콜롬비아와의 2026년 북중미월드컵 16강전에서"
9,2026.07.08 06:23,“아르헨티나 월드컵 우승 축하한다” 이집트 에이스 억울함 대폭발…“이번 ...,포포투,[포포투=박진우] 모스타파 지코는 대회가 조작됐다고 강조하며 ‘어차피 우승은 아르헨티나’를 외쳤다. 이집트는 8일 오전 1시(한국시간) 미국 애틀랜타에 위치한 애틀랜타 스타디움에서 열린 2026 국제축구연맹(FIFA) 북중미 월드컵 16강에서 아르헨티나에 2-3 역전패를 당하며 탈락했다. 더할 나위 없는 시작이었다. 이집트는 전반 15분 야세르 이브라
10,2026.07.08 10:59,"'노르웨이 GOAT' 홀란, 8강에서 좌절하나...맨시티 동료들, 입모아...",인터풋볼,"[인터풋볼=송건 기자] 엘링 홀란을 앞세운 노르웨이의 돌풍이 8강에서 멈추게 될까. 팀 동료들이 격전을 앞두고 자신감을 보여줬다. 영국 '더 선'은 8일(이하 한국시간) ""게히는 맨체스터 시티 팀 동료인 홀란과의 2026 FIFA 북중미 월드컵 8강을 손꼽아 기다리고 있다""라고 보도했다. 잉글랜드와 노르웨이는 12일 오전 6시(한국시간) 미국 플로리다"
